x,y,LOCAL_DAY,SNOW_ON_GROUND,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_SNOW,MAX_REL_HUMIDITY,MAX_TEMPERATURE,TOTAL_RAIN_FLAG,COOLING_DEGREE_DAYS,LOCAL_DATE,LOCAL_MONTH,DIRECTION_MAX_GUST,MIN_TEMPERATURE,STATION_NAME,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,ID,MIN_REL_HUMIDITY,TOTAL_PRECIPITATION_FLAG,HEATING_DEGREE_DAYS,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,SPEED_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,TOTAL_RAIN,MEAN_TEMPERATURE,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,SPEED_MAX_GUST,LOCAL_YEAR
-79.4,43.66666667,1,0,,,,0,,,,,2015-01-01 0:00,1,,,TORONTO,0,,6158350.2015.1.1,,,,ON,,6158350,,,0,,,,,,,2015
-79.4,43.66666667,2,0,,,,0,,,,,2015-01-02 0:00,1,,,TORONTO,0,,6158350.2015.1.2,,,,ON,,6158350,,,0,,,,,,,2015
-79.4,43.66666667,3,0,,,,5.4,,,,,2015-01-03 0:00,1,,,TORONTO,13.8,,6158350.2015.1.3,,,,ON,,6158350,,,8,,,,,,,2015
-79.4,43.66666667,4,0,,,,1.5,,,,,2015-01-04 0:00,1,,,TORONTO,5.6,,6158350.2015.1.4,,,,ON,,6158350,,,4.2,,,,,,,2015
-79.4,43.66666667,5,2,,,,0,,,,,2015-01-05 0:00,1,,,TORONTO,0,,6158350.2015.1.5,,,,ON,,6158350,,,0,,,,,,,2015
-79.4,43.66666667,6,2,,,,0.6,,,,,2015-01-06 0:00,1,,,TORONTO,0.5,,6158350.2015.1.6,,,,ON,,6158350,,,0,,,,,,,2015
-79.4,43.66666667,7,1,,,,0,,,,,2015-01-07 0:00,1,,,TORONTO,0,,6158350.2015.1.7,,,,ON,,6158350,,,0,,,,,,,2015
-79.4,43.66666667,8,1,,,,2.4,,,,,2015-01-08 0:00,1,,,TORONTO,1.2,,6158350.2015.1.8,,,,ON,,6158350,,,0,,,,,,,2015
-79.4,43.66666667,9,3,,,,1,,,,,2015-01-09 0:00,1,,,TORONTO,1.9,,6158350.2015.1.9,,,,ON,,6158350,,,0,,,,,,,2015
-79.4,43.66666667,10,3,,,,0,,,,,2015-01-10 0:00,1,,,TORONTO,0,,6158350.2015.1.10,,,,ON,,6158350,,,0,,,,,,,2015
