x,y,LOCAL_DAY,SNOW_ON_GROUND,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_SNOW,MAX_REL_HUMIDITY,MAX_TEMPERATURE,TOTAL_RAIN_FLAG,COOLING_DEGREE_DAYS,LOCAL_DATE,LOCAL_MONTH,DIRECTION_MAX_GUST,MIN_TEMPERATURE,STATION_NAME,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,ID,MIN_REL_HUMIDITY,TOTAL_PRECIPITATION_FLAG,HEATING_DEGREE_DAYS,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,SPEED_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,TOTAL_RAIN,MEAN_TEMPERATURE,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,SPEED_MAX_GUST,LOCAL_YEAR
-79.63055555555556,43.67666666666667,23,,,,,0,,24.3,,0.7,2015-08-23 00:00:00,8,0,13.1,TORONTO INTL A,0,,6158731.2015.8.23,,,0,ON,,6158731,,,0,18.7,,,,,0,2015
-79.63055555555556,43.67666666666667,24,,,,,,,24.2,M,2,2015-08-24 00:00:00,8,0,15.7,TORONTO INTL A,,,6158731.2015.8.24,,M,0,ON,,6158731,,M,,20,,,,,0,2015
-79.63055555555556,43.67666666666667,25,,,,,0,,20.9,,0,2015-08-25 00:00:00,8,24,14.2,TORONTO INTL A,0,,6158731.2015.8.25,,,0.4,ON,,6158731,,,0,17.6,,,,,35,2015
-79.63055555555556,43.67666666666667,26,,,,,0,,20.1,,0,2015-08-26 00:00:00,8,28,14.1,TORONTO INTL A,0,,6158731.2015.8.26,,,0.9,ON,,6158731,,,0,17.1,,,,,37,2015
-79.63055555555556,43.67666666666667,27,,,,,0,,19.3,,0,2015-08-27 00:00:00,8,0,12.7,TORONTO INTL A,0,,6158731.2015.8.27,,,2,ON,,6158731,,,0,16,,,,,0,2015
-79.63055555555556,43.67666666666667,28,,,,,0,,22.9,,0,2015-08-28 00:00:00,8,0,10.9,TORONTO INTL A,0,,6158731.2015.8.28,,,1.1,ON,,6158731,,,0,16.9,,,,,0,2015
-79.63055555555556,43.67666666666667,29,,,,,0,,24.2,,1.6,2015-08-29 00:00:00,8,0,14.9,TORONTO INTL A,0,,6158731.2015.8.29,,,0,ON,,6158731,,,0,19.6,,,,,0,2015
-79.63055555555556,43.67666666666667,30,,,,,0,,26.2,,4.3,2015-08-30 00:00:00,8,0,18.4,TORONTO INTL A,0,,6158731.2015.8.30,,,0,ON,,6158731,,,0,22.3,,,,,0,2015
-79.63055555555556,43.67666666666667,31,,,,,0,,29.2,,5.4,2015-08-31 00:00:00,8,29,17.5,TORONTO INTL A,0,,6158731.2015.8.31,,,0,ON,,6158731,,,0,23.4,,,,,33,2015
-79.63055555555556,43.67666666666667,1,,,,,0,,29,,5.4,2015-09-01 00:00:00,9,0,17.7,TORONTO INTL A,0,,6158731.2015.9.1,,,0,ON,,6158731,,,0,23.4,,,,,0,2015
-79.63055555555556,43.67666666666667,2,,,,,0,,33.3,,8.8,2015-09-02 00:00:00,9,25,20.2,TORONTO INTL A,0,,6158731.2015.9.2,,,0,ON,,6158731,,,0,26.8,,,,,44,2015
-79.63055555555556,43.67666666666667,3,,,,,0,,29.8,T,7.6,2015-09-03 00:00:00,9,25,21.3,TORONTO INTL A,0,,6158731.2015.9.3,,T,0,ON,,6158731,,,0,25.6,,,,,44,2015
-79.63055555555556,43.67666666666667,4,,,,,0,,27.9,,6.6,2015-09-04 00:00:00,9,10,21.3,TORONTO INTL A,0,,6158731.2015.9.4,,,0,ON,,6158731,,,0,24.6,,,,,39,2015
-79.63055555555556,43.67666666666667,5,,,,,0,,29.7,,6.3,2015-09-05 00:00:00,9,0,18.8,TORONTO INTL A,0,,6158731.2015.9.5,,,0,ON,,6158731,,,0,24.3,,,,,0,2015
-79.63055555555556,43.67666666666667,6,,,,,0,,31.7,T,7.6,2015-09-06 00:00:00,9,28,19.4,TORONTO INTL A,0,,6158731.2015.9.6,,T,0,ON,,6158731,,,0,25.6,,,,,33,2015
-79.63055555555556,43.67666666666667,7,,,,,0,,34,,9.5,2015-09-07 00:00:00,9,28,21,TORONTO INTL A,0.4,,6158731.2015.9.7,,,0,ON,,6158731,,,0.4,27.5,,,,,50,2015
-79.63055555555556,43.67666666666667,8,,,,,0,,29.4,,7.7,2015-09-08 00:00:00,9,0,21.9,TORONTO INTL A,8.8,,6158731.2015.9.8,,,0,ON,,6158731,,,8.8,25.7,,,,,0,2015
-79.63055555555556,43.67666666666667,9,,,,,0,,25.5,,2.5,2015-09-09 00:00:00,9,33,15.4,TORONTO INTL A,3.2,,6158731.2015.9.9,,,0,ON,,6158731,,,3.2,20.5,,,,,43,2015
-79.63055555555556,43.67666666666667,10,,,,,0,,23.7,,0.4,2015-09-10 00:00:00,9,11,13,TORONTO INTL A,0,,6158731.2015.9.10,,,0,ON,,6158731,,,0,18.4,,,,,32,2015
-79.63055555555556,43.67666666666667,11,,,,,0,,23,,0,2015-09-11 00:00:00,9,35,13,TORONTO INTL A,6.8,,6158731.2015.9.11,,,0,ON,,6158731,,,6.8,18,,,,,39,2015
-79.63055555555556,43.67666666666667,12,,,,,0,,16.1,,0,2015-09-12 00:00:00,9,2,12,TORONTO INTL A,15.2,,6158731.2015.9.12,,,3.9,ON,,6158731,,,15.2,14.1,,,,,43,2015
-79.63055555555556,43.67666666666667,13,,,,,0,,14.6,,0,2015-09-13 00:00:00,9,32,10,TORONTO INTL A,2.8,,6158731.2015.9.13,,,5.7,ON,,6158731,,,2.8,12.3,,,,,50,2015
-79.63055555555556,43.67666666666667,14,,,,,0,,23.9,,0,2015-09-14 00:00:00,9,25,9.2,TORONTO INTL A,0,,6158731.2015.9.14,,,1.4,ON,,6158731,,,0,16.6,,,,,43,2015
-79.63055555555556,43.67666666666667,15,,,,,0,,28.4,,2.8,2015-09-15 00:00:00,9,24,13.2,TORONTO INTL A,0,,6158731.2015.9.15,,,0,ON,,6158731,,,0,20.8,,,,,32,2015
-79.63055555555556,43.67666666666667,16,,,,,0,,28.3,,4.3,2015-09-16 00:00:00,9,0,16.2,TORONTO INTL A,0,,6158731.2015.9.16,,,0,ON,,6158731,,,0,22.3,,,,,0,2015
-79.63055555555556,43.67666666666667,17,,,,,0,,27.7,,3.7,2015-09-17 00:00:00,9,23,15.7,TORONTO INTL A,0,,6158731.2015.9.17,,,0,ON,,6158731,,,0,21.7,,,,,33,2015
-79.63055555555556,43.67666666666667,18,,,,,0,,27.4,T,3.8,2015-09-18 00:00:00,9,25,16.2,TORONTO INTL A,0,,6158731.2015.9.18,,T,0,ON,,6158731,,,0,21.8,,,,,39,2015
-79.63055555555556,43.67666666666667,19,,,,,0,,25.2,,0.7,2015-09-19 00:00:00,9,29,12.2,TORONTO INTL A,11.4,,6158731.2015.9.19,,,0,ON,,6158731,,,11.4,18.7,,,,,61,2015
-79.63055555555556,43.67666666666667,20,,,,,0,,18.5,,0,2015-09-20 00:00:00,9,0,9.7,TORONTO INTL A,0,,6158731.2015.9.20,,,3.9,ON,,6158731,,,0,14.1,,,,,0,2015
-79.63055555555556,43.67666666666667,21,,,,,0,,19.8,,0,2015-09-21 00:00:00,9,0,10.6,TORONTO INTL A,0,,6158731.2015.9.21,,,2.8,ON,,6158731,,,0,15.2,,,,,0,2015
-79.63055555555556,43.67666666666667,22,,,,,0,,22.1,,0,2015-09-22 00:00:00,9,0,9.7,TORONTO INTL A,0,,6158731.2015.9.22,,,2.1,ON,,6158731,,,0,15.9,,,,,0,2015
-79.63055555555556,43.67666666666667,23,,,,,0,,24.4,,0.7,2015-09-23 00:00:00,9,0,12.9,TORONTO INTL A,0,,6158731.2015.9.23,,,0,ON,,6158731,,,0,18.7,,,,,0,2015
-79.63055555555556,43.67666666666667,24,,,,,0,,23,,0.9,2015-09-24 00:00:00,9,0,14.8,TORONTO INTL A,0,,6158731.2015.9.24,,,0,ON,,6158731,,,0,18.9,,,,,0,2015
-79.63055555555556,43.67666666666667,25,,,,,0,,21.5,,0,2015-09-25 00:00:00,9,0,12.6,TORONTO INTL A,0,,6158731.2015.9.25,,,0.9,ON,,6158731,,,0,17.1,,,,,0,2015
-79.63055555555556,43.67666666666667,26,,,,,0,,20.1,,0,2015-09-26 00:00:00,9,0,10,TORONTO INTL A,0,,6158731.2015.9.26,,,2.9,ON,,6158731,,,0,15.1,,,,,0,2015
-79.63055555555556,43.67666666666667,27,,,,,0,,21.4,,0,2015-09-27 00:00:00,9,0,10.8,TORONTO INTL A,0,,6158731.2015.9.27,,,1.9,ON,,6158731,,,0,16.1,,,,,0,2015
-79.63055555555556,43.67666666666667,28,,,,,0,,22.3,,2.3,2015-09-28 00:00:00,9,0,18.3,TORONTO INTL A,0.2,,6158731.2015.9.28,,,0,ON,,6158731,,,0.2,20.3,,,,,0,2015
-79.63055555555556,43.67666666666667,29,,,,,0,,22.5,,0.3,2015-09-29 00:00:00,9,34,14,TORONTO INTL A,13.2,,6158731.2015.9.29,,,0,ON,,6158731,,,13.2,18.3,,,,,50,2015
