EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE,SIMPLIFIED_COMMENTS
Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,"Ontario, Quebec",11/15/2020 12:00:00 AM,"On November 15th, a strong frontal system passed through Ontario and Quebec. The system brought an array of hazardous weather conditions: An EF1 tornado touched down near Georgetown; there were four confirmed downbursts events (Dunnville, New Dundee, Ingersoll, Port Burwell) with wind speeds ranging from 115-135 km/hr; strong winds across much of northeastern and southern Ontario (Port Colborne, for example, recorded maximum wind speeds of 132 km/hr with 10 consecutive hours of winds over 80 km/hr); and a significant seiche in Lake Erie (4 m sea level difference between Toledo, Ohio, and Buffalo, New York). As a result, this system generated widespread damage across Ontario and into Quebec - southwestern Ontario was the most impacted. By the early evening of November 15th, over 1 million individuals were without power in Ontario, Quebec, and the United States. Hydro One reported over 542,000 customers that were affected and over 500 downed hydro poles; power was still not fully restored to all customers by November 19th. Power outages were also reported in Quebec. This event is estimated to have cost $87 million (2020 CAD) in insured losses.",0.0,0.0,0.0,,,11/16/2020 12:00:00 AM,,,,,,87000000.0,,,,"On November 15th, a strong frontal system passed through Ontario and Quebec. The system brought an array of hazardous weather conditions: An EF1 tornado touched down near Georgetown; there were four confirmed downbursts events (Dunnville, New Dundee, Ingersoll, Port Burwell) with wind speeds ranging from 115-135 km/hr; strong winds across much of northeastern and southern Ontario (Port Colborne, for example, recorded maximum wind speeds of 132 km/hr with 10 consecutive hours of winds over 80 km/hr); and a significant seiche in Lake Erie (4 m sea level difference between Toledo, Ohio, and Buffalo, New York)"
Disaster,Natural,Meteorological - Hydrological,Wildfire,British Columbia,9/8/2020 12:00:00 AM,"In mid-September, serious wildfires burning in California, Oregon and Washington caused plumes of smoke to travel to British Columbia and Alberta. Special air quality statements and advisories were issued on September 8th for parts of southern British Columbia. By September 15th, the bulletins extended as far as Williams Lake, and then to Terrace 2 days later. The air quality advisories continued to September 21. Because of the wildfire smoke, it is reported that Vancouver experienced some of the worst air quality conditions in the world and particulate matter was six times higher than the 2017 and 2018 fire seasons in BC. Canada Post suspended mail delivery in some locations in central and southern BC. Air quality alerts were also issued for southwestern Alberta. Plumes of wildfire smoke were also reported across Canada and as far as Atlantic Canada.",,0.0,0.0,,,9/21/2020 12:00:00 AM,,,,,,,,,,"In mid-September, serious wildfires burning in California, Oregon and Washington caused plumes of smoke to travel to British Columbia and Alberta. Special air quality statements and advisories were issued on September 8th for parts of southern British Columbia"
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Calgary, Alberta",7/24/2020 12:00:00 AM,"On the afternoon of July 24th, Calgary and its surrounding area experienced a significant hail storm. As a result, over 10,000 claims from Calgary, Drumheller, Airdrie and Strathmore were filed leading to over $135 million (CAD 2020) in insured losses.",0.0,0.0,0.0,,,7/24/2020 12:00:00 AM,,,,,,135000000.0,,,,"On the afternoon of July 24th, Calgary and its surrounding area experienced a significant hail storm. As a result, over 10,000 claims from Calgary, Drumheller, Airdrie and Strathmore were filed leading to over $135 million (CAD 2020) in insured losses."
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Calgary, Alberta",6/13/2020 12:00:00 AM,"On the evening of June 13th, a storm developed over south-central Calgary and rapidly intensified into a severe storm with hail. The storm produced strong winds, heavy rain and hailstones that were bigger than golf balls. The hail caused extensive property and vehicle damage (32,000 vehicles) as well as the destruction of young crops; heavy rains also caused urban flooding. Calgary's northeastern neighbourhoods were the most affected. This is one of Canada's costliest disasters with 63,000 claims (not including crop losses) and an estimated $1.2 billion (CAD 2020) in insured losses.",0.0,0.0,0.0,,,6/14/2020 12:00:00 AM,,,,,,1200807000.0,,,,"On the evening of June 13th, a storm developed over south-central Calgary and rapidly intensified into a severe storm with hail. The storm produced strong winds, heavy rain and hailstones that were bigger than golf balls"
Disaster,Natural,Meteorological - Hydrological,Flood,Regional Municipality of Wood Buffalo,4/26/2020 12:00:00 AM,"On April 26th, the Regional Municipality of Wood Buffalo declared a State of Local Emergency when an ice jam caused flooding along the Athabasca, Snye and Clearwater Rivers. The waters rose as high as 4.5-6 m - some within a matter of hours. As a result of the flooding, roughly 13,000 individuals in the lower townsite were evacuated until May 2nd; this one was of the first major evacuations in the world to take place during the pandemic. Over 1,200 structures (mostly commercial) and vehicles were damaged which caused an estimated $549 million (CAD 2020) in insured losses. As a result of the flood, 1 individual was fatally injured and another taken to hospital when the waters quickly rose along the Athabasca River while they were ATVing near Fort McKay First Nation.",1.0,1.0,13000.0,,,5/3/2020 12:00:00 AM,,,,,,549213000.0,,,,"On April 26th, the Regional Municipality of Wood Buffalo declared a State of Local Emergency when an ice jam caused flooding along the Athabasca, Snye and Clearwater Rivers. The waters rose as high as 4.5-6 m - some within a matter of hours"
Disaster,Natural,Meteorological - Hydrological,Flood,"Fort Vermilion, Alberta ",4/23/2020 12:00:00 AM,"On April 23rd, Mackenzie County, AB, issued an ice jam watch for the Peace River from Sunny Valley to Fort Vermilion. By the end of the day, the county declared a State of Local Emergency as it was expected that the ice run would reach the community of Fort Vermilion within the day. With this, an evacuation alert was issued for residents in low lying areas in North Vermilion and Fort Vermilion. The watch was soon upgraded to a warning, and the evacuation was expanded to include more of the community. Roughly 450 residents were evacuated. On the morning of 27th, the Peace River breached its banks and began to flood the communities. Flood waters rose 2.5 metres and caused extensive damage to homes, businesses and local infrastructure. The waters receded on April 29th, and residents were allowed home on May 2nd. As a result of the flooding, some homes were damaged beyond repair and are being re-built on higher ground to reduce the risk of future flood losses.",0.0,0.0,450.0,,,5/3/2020 12:00:00 AM,,,,,,,,,,"On April 23rd, Mackenzie County, AB, issued an ice jam watch for the Peace River from Sunny Valley to Fort Vermilion. By the end of the day, the county declared a State of Local Emergency as it was expected that the ice run would reach the community of Fort Vermilion within the day"
Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,Southern BC and Vancouver Island,1/30/2020 12:00:00 AM,"From January 30th to February 1st, a significant rain event affected parts of Vancouver Island and the Fraser Valley. Port Renfrew on the western coast of Vancouver Island recorded 220.4 mm while Abbotsford recorded 104.1 mm. Flooding and landslides also occurred as a result of the extensive rain. States of Local Emergency were declared in the Cowichan Valley Regional District as well as in the District of Kent. Several roads were washed out or buried under landslide debris, and some telecommunication networks were also affected. In the Cowichan valley area, dozens were evacuated in addition to 40 homes north of Harrison Hot Springs. Hundreds of individuals were also stranded in Hemlock Valley and Sasquatch Mountain ski resort when the main route became blocked by mudslide debris. The rain event also extended into Sumas, Washington, causing an international border crossing to be temporarily closed. This event caused over $42 million in insured losses.",0.0,0.0,0.0,,,2/1/2020 12:00:00 AM,,,,,,42000000.0,,,,"From January 30th to February 1st, a significant rain event affected parts of Vancouver Island and the Fraser Valley. Port Renfrew on the western coast of Vancouver Island recorded 220.4 mm while Abbotsford recorded 104.1 mm"
Disaster,Natural,Meteorological - Hydrological,Winter Storm,"Avalon Peninsula and Bell Island, Newfoundland",1/17/2020 12:00:00 AM,"On January 17-18, a severe winter system (bomb cyclone, ""snowmageddon"") affected the northeast area of the Avalon Peninsula and Bell Island in Newfoundland, The communities of Mount Pearl, Paradise and St. John's were particularly impacted. This low pressure system created blizzard conditions for 18 hours with visibility of less than 200 m, winds of 160 km/hr, and a 8.7 m storm surge. The winter storm covered 1,136 km2 and affected 208,000 individuals. Mount Pearl, Paradise and St. John's recorded, 93 cm, 91 cm and 76 cm of snow in 28 hours, respectively. A State of Emergency was declared in St. John's as well as 11 other communities and a request for assistance was made to the Government of Canada. Approximately 380 Canadian Armed Forces members assisted in the efforts where the majority of tasks required shovelling assistance. The storm is estimated to have cost $17 million (CAD 2020) in insured losses. A secondary hazard created by this winter storm was snow avalanches and warnings where several homes in the Battery area of St. John's were evacuated.",2.0,0.0,0.0,,,1/18/2020 12:00:00 AM,,,,,,17000000.0,,,,"On January 17-18, a severe winter system (bomb cyclone, ""snowmageddon"") affected the northeast area of the Avalon Peninsula and Bell Island in Newfoundland, The communities of Mount Pearl, Paradise and St. John's were particularly impacted"
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Southern Ontairo and southern Quebec,1/10/2020 12:00:00 AM,"On January 10th, a low pressure system moved through southern Ontario and Quebec which began with temperature highs of 10-12C and rain, before changing to freezing rain and snow by January 12th in some locations. Extensive amounts of precipitation fell across southern Ontario; 78.4 mm in Toronto, 76.1 mm in London and 65.5 mm in Peterborough. As a result of the frozen ground and rain, there was overland flooding and sewer backups in several regions. The passage of the cold front also brought high winds which in combination with freezing rain led to tree damage and power outages. The system also affected Quebec. Montreal, for example, recorded 60 mm of precipitation. The system caused an estimated $95.3 million in insured losses - $81.6 million in Ontario and $13.7 million in Quebec (CAD 2020).",0.0,0.0,0.0,,,1/12/2020 12:00:00 AM,,,,,,95300000.0,,,,"On January 10th, a low pressure system moved through southern Ontario and Quebec which began with temperature highs of 10-12C and rain, before changing to freezing rain and snow by January 12th in some locations. Extensive amounts of precipitation fell across southern Ontario; 78.4 mm in Toronto, 76.1 mm in London and 65.5 mm in Peterborough"
Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,Eastern Canada,10/31/2019 12:00:00 AM,"For many communities across eastern Canada, there was an autumn storm forecast for Halloween night in 2019; 20 communities in Quebec postponed trick-or-treating festivities by one night. On Halloween night through to the morning of November 1st, the storm brought rain to the southern regions and snow to the northern regions of the affected area. However, it was the wind, and subsequent waves and storm surges along the shorelines of the Great Lakes that caused the most damage. Strong winds were recorded across eastern Canada (e.g. 129 km/hr in Port Colborne, ON, 107 km/hr in Montreal 102 km/hr in Halifax, and 100 km/hr in St. John's). There were also widespread power outages - 2 million in Quebec were without power. The storm caused over $255 million (CAD 2019)  in insurable losses; $189 million in Quebec, $55 million in Ontario, $3 million in New Brunswick, $2 million in Nova Scotia, $480,000 in Newfoundland and Labrador, and $150,000 in PEI.",0.0,0.0,0.0,,,11/2/2019 12:00:00 AM,,,,,,255536800.0,,,,"For many communities across eastern Canada, there was an autumn storm forecast for Halloween night in 2019; 20 communities in Quebec postponed trick-or-treating festivities by one night. On Halloween night through to the morning of November 1st, the storm brought rain to the southern regions and snow to the northern regions of the affected area"
