_id,locationId,locationName,locationType,address,city,postal_code,addressInfo,dates,hours,info,phone,phoneExt,phoneAlt,phoneAltExt,website,Data_Source,OBJECTID,Date_Added,wardName,geometry
1,153,Metro Toronto Convention Centre,City-operated Immunization Clinic,"255 Front Street West, North Building, Lower Level, Constitution Hall, Room 107",None,None,None,None,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m.  8 p.m. and Saturday from 11 a.m.  5 p.m. Adjusted days/hours may occasionally apply.",None,None,None,None,None,Ontario Health; Toronto Public Health,15,None,Spadina-Fort York,"{'type': 'MultiPoint', 'coordinates': [[-79.386829859627, 43.643971128415]]}"
2,157,Scarborough Town Centre,City-operated Immunization Clinic,300 Borough Drive,None,None,None,None,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m.  8 p.m. and Saturday from 11 a.m.  5 p.m. Adjusted days/hours may occasionally apply.",None,None,None,None,None,Ontario Health; Toronto Public Health,16,None,Scarborough Centre,"{'type': 'MultiPoint', 'coordinates': [[-79.258930615442, 43.776990231769]]}"
3,158,Cloverdale Mall,City-operated Immunization Clinic,250 The East Mall,None,None,None,None,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m.  8 p.m. and Saturday from 11 a.m.  5 p.m. Adjusted days/hours may occasionally apply.",None,None,None,None,None,Ontario Health; Toronto Public Health,17,None,Etobicoke-Lakeshore,"{'type': 'MultiPoint', 'coordinates': [[-79.556501959627, 43.632603612174]]}"
4,650,Woodbine Mall,City-operated Immunization Clinic,500 Rexdale Boulevard,None,None,None,None,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m.  8 p.m. and Saturday from 11 a.m.  5 p.m. Adjusted days/hours may occasionally apply.",None,None,None,None,None,Ontario Health; Toronto Public Health,18,2021-09-21,Etobicoke North,"{'type': 'MultiPoint', 'coordinates': [[-79.599279647844, 43.719178000313]]}"
5,150,Mitchell Field Community Centre,City-operated Immunization Clinic,89 Church Avenue,None,None,None,None,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m.  8 p.m. and Saturday from 11 a.m.  5 p.m. Adjusted days/hours may occasionally apply.",None,None,None,None,None,Ontario Health; Toronto Public Health,19,None,Willowdale,"{'type': 'MultiPoint', 'coordinates': [[-79.408229001951, 43.774637558851]]}"
6,218,Wellesley Community Centre,Hospital Immunization Clinic,495 Sherbourne Street (east entrance by the parkette),None,None,None,None,None,"The COVID Vaccine Clinic at the Wellesley Community Centre accepts walk-ins for first and second doses, both Pfizer and Moderna. Appointments are also available at www.stjamestown.org. Hours are Thursdays (12:30 p.m. to 7 p.m.) and Fridays/Saturdays (9:30 a.m. to 4 p.m.).",None,None,None,None,https://sherbourne.on.ca/covid-19-vaccine-info/,Ontario Health; Toronto Public Health,20,None,Toronto Centre,"{'type': 'MultiPoint', 'coordinates': [[-79.374465659626, 43.667604299075]]}"
7,612,The Mid-Scarborough Hub,Hospital Immunization Clinic,2660 Eglinton Avenue East,None,None,None,None,None,Please visit the hospital's website for booking information.  Accessible and parking is available.,None,None,None,None,https://www.scarboroughcovidvaccineclinic.ca/,Ontario Health; Toronto Public Health,21,2021-07-10,Scarborough Centre,"{'type': 'MultiPoint', 'coordinates': [[-79.250706610454, 43.737387970125]]}"
8,611,TAIBU Community Health Centre,Hospital Immunization Clinic,27 Tapscott Road,None,None,None,None,None,Please visit the hospital's website for booking information. Accessible and parking is available.,None,None,None,None,https://www.scarboroughcovidvaccineclinic.ca/,Ontario Health; Toronto Public Health,22,2021-07-10,Scarborough North,"{'type': 'MultiPoint', 'coordinates': [[-79.2205897086, 43.806308528206]]}"
9,204,CAMH Vaccination Clinic,Hospital Immunization Clinic,100 Stokes Street,None,None,None,None,None,Please visit the hospital's website for booking information. Accessible and parking is available.,None,None,None,None,http://www.camh.ca/covidvaccine,Ontario Health; Toronto Public Health,23,None,Spadina-Fort York,"{'type': 'MultiPoint', 'coordinates': [[-79.419124457775, 43.64352200475]]}"
10,187,Michael Garron Hospital,Hospital Immunization Clinic,825 Coxwell Avenue,None,None,None,None,None,Please visit the hospital's website for booking information. Accessible and parking is available.,None,None,None,None,https://tehn.ca/covid19/covid-19-vaccine,Ontario Health; Toronto Public Health,24,None,Beaches-East York,"{'type': 'MultiPoint', 'coordinates': [[-79.324879659625, 43.690088500097]]}"
11,216,"Regent Park, 40 Oaks (Fred Victor)",Hospital Immunization Clinic,40 Oak Street,None,None,None,None,None,Please visit the hospital's website for booking information. Accessible and limited parking is available.,None,None,None,None,https://regentparkchc.org/,Ontario Health; Toronto Public Health,25,None,Toronto Centre,"{'type': 'MultiPoint', 'coordinates': [[-79.36531997497, 43.661619703176]]}"
12,208,University Health Network - University of Toronto - St. George's Campus Vaccination Clinic,Hospital Immunization Clinic,255 McCaul Street (entrance through main doors on McCaul Street),None,None,None,None,None,Please visit the hospital's website for booking information.,None,None,None,None,University-Rosedale,Ontario Health; Toronto Public Health,26,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.392924501954, 43.65874688966]]}"
13,201,East York Town Centre,Hospital Immunization Clinic,45 Overlea Boulevard,None,None,None,None,None,Please visit the hospital's website for booking information.,None,None,None,None,https://tehn.ca/covid19/covid-19-vaccine/covid-19-immunization-clinics-east-toronto,Ontario Health; Toronto Public Health,27,None,Don Valley West,"{'type': 'MultiPoint', 'coordinates': [[-79.346049059625, 43.705981419136]]}"
14,184,Carefirst Seniors and Community Services Association Clinic,Hospital Immunization Clinic,300 Silver Star Boulevard,None,None,None,None,None,Please visit the hospital's website for booking information. Accessible and parking is available.,None,None,None,None,https://www.scarboroughcovidvaccineclinic.ca/,Ontario Health; Toronto Public Health,28,None,Scarborough-Agincourt,"{'type': 'MultiPoint', 'coordinates': [[-79.294956688457, 43.812781513219]]}"
15,185,Centennial College Progress Campus Clinic,Hospital Immunization Clinic,941 Progress Avenue,None,None,None,None,None,Please visit the hospital's website for booking information. Accessible and parking is available.,None,None,None,None,https://www.scarboroughcovidvaccineclinic.ca/,Ontario Health; Toronto Public Health,29,None,Scarborough-Guildwood,"{'type': 'MultiPoint', 'coordinates': [[-79.22820230195, 43.785626371638]]}"
16,186,Humber River Hospital COVax Vaccine Clinic - Downsview Arena,Hospital Immunization Clinic,2625 Weston Road,None,None,None,None,None,Please visit the hospital's website for booking information. Accessible and parking is available.,None,None,None,None,https://www.hrh.ca/covax-clinic-booking/,Ontario Health; Toronto Public Health,30,None,York South-Weston,"{'type': 'MultiPoint', 'coordinates': [[-79.531034259625, 43.713852472062]]}"
17,190,Seneca College Vaccination Clinic,Hospital Immunization Clinic,1750 Finch Avenue East,None,None,None,None,None,Please visit the hospital's website for booking information. Accessible and parking is available.,None,None,None,None,https://www.nygh.on.ca/,Ontario Health; Toronto Public Health,31,None,Don Valley North,"{'type': 'MultiPoint', 'coordinates': [[-79.349676663484, 43.795323958241]]}"
18,191,SHN Centenary Clinic,Hospital Immunization Clinic,2867 Ellesmere Road,None,None,None,None,None,Please visit the hospital's website for booking information. Accessible and parking is available.,None,None,None,None,https://www.scarboroughcovidvaccineclinic.ca/,Ontario Health; Toronto Public Health,32,None,Scarborough-Guildwood,"{'type': 'MultiPoint', 'coordinates': [[-79.206660232638, 43.78239801145]]}"
19,198,Warden Hilltop Community Centre,Hospital Immunization Clinic,25 Mendelssohn Street,None,None,None,None,None,Please visit the hospital's website for booking information. Accessible and parking is available.,None,None,None,None,https://tehn.ca/covid19/covid-19-vaccine,Ontario Health; Toronto Public Health,33,None,Scarborough Southwest,"{'type': 'MultiPoint', 'coordinates': [[-79.280742319149, 43.71479635415]]}"
20,209,West Park Healthcare Centre,Hospital Immunization Clinic,82 Buttonwood Avenue,None,None,None,None,None,Please visit the hospital's website for booking information. Accessible and parking is available.,None,None,None,None,https://www.westpark.org/en/PatientsAndFamilies/COVID-19/VaccinationClinics,Ontario Health; Toronto Public Health,34,None,York South-Weston,"{'type': 'MultiPoint', 'coordinates': [[-79.508040174969, 43.689919358638]]}"
21,189,NYGH Vaccination Clinic,Hospital Immunization Clinic,4001 Leslie Street,None,None,None,None,None,Please visit the hospital's website for booking information. Accessible and parking is available.,None,None,None,None,None,Ontario Health; Toronto Public Health,35,None,Don Valley North,"{'type': 'MultiPoint', 'coordinates': [[-79.363201801951, 43.769755820985]]}"
22,246,KIPLING & QUEENSWAY PHARMACY,Pharmacy Immunization Site,"1255 THE QUEENSWAY, UNIT-20",None,None,None,None,"Monday: 10 a.m.-6 p.m., Tuesday: 10 a.m.-6 p.m., Wednesday: 10 a.m.-6 p.m., Thursday: 10 a.m.-6 p.m., Friday: 10 a.m.-6 p.m., Saturday: 10 a.m.-4 p.m., Sunday: CLOSED","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",647-508-3550,None,None,None,None,Ontario Health; Toronto Public Health,36,2021-03-18,Etobicoke-Lakeshore,"{'type': 'MultiPoint', 'coordinates': [[-79.524809007, 43.621073842]]}"
