id,type,longitude,latitude,TEMP_FLAG,HUMIDEX_FLAG,LOCAL_MONTH,PRECIP_AMOUNT_FLAG,WINDCHILL_FLAG,WIND_SPEED_FLAG,LOCAL_DATE,RELATIVE_HUMIDITY_FLAG,WEATHER_ENG_DESC,LOCAL_HOUR,RELATIVE_HUMIDITY,LOCAL_DAY,STATION_PRESSURE_FLAG,WIND_SPEED,VISIBILITY,LOCAL_YEAR,UTC_DAY,TEMP,DEW_POINT_TEMP,PROVINCE_CODE,CLIMATE_IDENTIFIER,HUMIDEX,ID,WIND_DIRECTION_FLAG,WINDCHILL,DEW_POINT_TEMP_FLAG,UTC_YEAR,UTC_MONTH,STATION_PRESSURE,WIND_DIRECTION,STATION_NAME,PRECIP_AMOUNT,VISIBILITY_FLAG,UTC_DATE,WEATHER_FRE_DESC
6158875.2016.2.29.18,Feature,-77.52805555555555,44.11888888888889,,,2,,,,2016-02-29 18:00:00,,Snow Showers,18,89.0,29,,54.0,1.6,2016,29,-0.6,-2.2,ON,6158875,,6158875.2016.2.29.18,,-9.0,,2016,2,99.44,28.0,TRENTON A,,,2016-02-29T23:00:00,Averses de neige
6049443.2016.1.17.19,Feature,-89.11944444444444,48.369166666666665,,,1,M,,,2016-01-17 19:00:00,,,19,68.0,17,,51.0,,2016,18,-17.9,-22.4,ON,6049443,,6049443.2016.1.17.19,,-33.0,,2016,1,99.1,30.0,WELCOME ISLAND (AUT),,,2016-01-18T00:00:00,ND
6049443.2016.1.18.0,Feature,-89.11944444444444,48.369166666666665,,,1,M,,,2016-01-18 00:00:00,,,0,77.0,18,,58.0,,2016,18,-19.9,-22.9,ON,6049443,,6049443.2016.1.18.0,,-36.0,,2016,1,99.12,31.0,WELCOME ISLAND (AUT),,,2016-01-18T05:00:00,ND
6049443.2016.1.18.1,Feature,-89.11944444444444,48.369166666666665,,,1,M,,,2016-01-18 01:00:00,,,1,77.0,18,,56.0,,2016,18,-20.2,-23.2,ON,6049443,,6049443.2016.1.18.1,,-36.0,,2016,1,99.12,31.0,WELCOME ISLAND (AUT),,,2016-01-18T06:00:00,ND
6049443.2016.1.18.2,Feature,-89.11944444444444,48.369166666666665,,,1,M,,,2016-01-18 02:00:00,,,2,76.0,18,,61.0,,2016,18,-20.7,-23.7,ON,6049443,,6049443.2016.1.18.2,,-38.0,,2016,1,99.1,31.0,WELCOME ISLAND (AUT),,,2016-01-18T07:00:00,ND
6049443.2016.1.28.4,Feature,-89.11944444444444,48.369166666666665,,,1,M,,,2016-01-28 04:00:00,,,4,91.0,28,,52.0,,2016,28,-5.3,-6.6,ON,6049443,,6049443.2016.1.28.4,,-16.0,,2016,1,96.9,31.0,WELCOME ISLAND (AUT),,,2016-01-28T09:00:00,ND
6049443.2016.1.28.7,Feature,-89.11944444444444,48.369166666666665,,,1,M,,,2016-01-28 07:00:00,,,7,88.0,28,,65.0,,2016,28,-5.9,-7.5,ON,6049443,,6049443.2016.1.28.7,,-17.0,,2016,1,97.27,34.0,WELCOME ISLAND (AUT),,,2016-01-28T12:00:00,ND
6049443.2016.1.28.8,Feature,-89.11944444444444,48.369166666666665,,,1,M,,,2016-01-28 08:00:00,,,8,88.0,28,,53.0,,2016,28,-6.4,-8.1,ON,6049443,,6049443.2016.1.28.8,,-17.0,,2016,1,97.49,34.0,WELCOME ISLAND (AUT),,,2016-01-28T13:00:00,ND
6049443.2016.1.28.9,Feature,-89.11944444444444,48.369166666666665,,,1,M,,,2016-01-28 09:00:00,,,9,85.0,28,,51.0,,2016,28,-8.3,-10.4,ON,6049443,,6049443.2016.1.28.9,,-20.0,,2016,1,97.75,35.0,WELCOME ISLAND (AUT),,,2016-01-28T14:00:00,ND
6049443.2016.2.29.5,Feature,-89.11944444444444,48.369166666666665,,,2,M,,,2016-02-29 05:00:00,,,5,93.0,29,,54.0,,2016,29,-8.1,-9.1,ON,6049443,,6049443.2016.2.29.5,,-20.0,,2016,2,97.17,30.0,WELCOME ISLAND (AUT),,,2016-02-29T10:00:00,ND
6049443.2016.2.29.6,Feature,-89.11944444444444,48.369166666666665,,,2,M,,,2016-02-29 06:00:00,,,6,88.0,29,,60.0,,2016,29,-11.1,-12.7,ON,6049443,,6049443.2016.2.29.6,,-24.0,,2016,2,97.43,31.0,WELCOME ISLAND (AUT),,,2016-02-29T11:00:00,ND
6049443.2016.2.29.7,Feature,-89.11944444444444,48.369166666666665,,,2,M,,,2016-02-29 07:00:00,,,7,87.0,29,,61.0,,2016,29,-12.7,-14.5,ON,6049443,,6049443.2016.2.29.7,,-26.0,,2016,2,97.63,31.0,WELCOME ISLAND (AUT),,,2016-02-29T12:00:00,ND
6049443.2016.2.29.8,Feature,-89.11944444444444,48.369166666666665,,,2,M,,,2016-02-29 08:00:00,,,8,83.0,29,,63.0,,2016,29,-15.3,-17.6,ON,6049443,,6049443.2016.2.29.8,,-30.0,,2016,2,97.95,31.0,WELCOME ISLAND (AUT),,,2016-02-29T13:00:00,ND
6049443.2016.2.29.9,Feature,-89.11944444444444,48.369166666666665,,,2,M,,,2016-02-29 09:00:00,,,9,83.0,29,,74.0,,2016,29,-16.4,-18.7,ON,6049443,,6049443.2016.2.29.9,,-33.0,,2016,2,98.21,32.0,WELCOME ISLAND (AUT),,,2016-02-29T14:00:00,ND
6049443.2016.2.29.10,Feature,-89.11944444444444,48.369166666666665,,,2,M,,,2016-02-29 10:00:00,,,10,79.0,29,,54.0,,2016,29,-16.0,-18.9,ON,6049443,,6049443.2016.2.29.10,,-30.0,,2016,2,98.5,32.0,WELCOME ISLAND (AUT),,,2016-02-29T15:00:00,ND
6049443.2016.2.29.11,Feature,-89.11944444444444,48.369166666666665,,,2,M,,,2016-02-29 11:00:00,,,11,74.0,29,,54.0,,2016,29,-16.5,-19.9,ON,6049443,,6049443.2016.2.29.11,,-31.0,,2016,2,98.68,31.0,WELCOME ISLAND (AUT),,,2016-02-29T16:00:00,ND
6049443.2016.3.16.10,Feature,-89.11944444444444,48.369166666666665,,,3,M,,,2016-03-16 10:00:00,,,10,80.0,16,,52.0,,2016,16,0.3,-2.8,ON,6049443,,6049443.2016.3.16.10,,,,2016,3,97.39,5.0,WELCOME ISLAND (AUT),,,2016-03-16T15:00:00,ND
6049443.2016.3.16.11,Feature,-89.11944444444444,48.369166666666665,,,3,M,,,2016-03-16 11:00:00,,,11,78.0,16,,56.0,,2016,16,0.3,-3.2,ON,6049443,,6049443.2016.3.16.11,,,,2016,3,97.32,5.0,WELCOME ISLAND (AUT),,,2016-03-16T16:00:00,ND
6049443.2016.4.11.14,Feature,-89.11944444444444,48.369166666666665,,,4,M,,,2016-04-11 14:00:00,,,14,82.0,11,,51.0,,2016,11,0.5,-2.3,ON,6049443,,6049443.2016.4.11.14,,,,2016,4,98.19,29.0,WELCOME ISLAND (AUT),,,2016-04-11T19:00:00,ND
6049443.2016.5.13.4,Feature,-89.11944444444444,48.369166666666665,,,5,M,,,2016-05-13 04:00:00,,,4,73.0,13,,52.0,,2016,13,7.4,3.0,ON,6049443,,6049443.2016.5.13.4,,,,2016,5,98.21,29.0,WELCOME ISLAND (AUT),,,2016-05-13T09:00:00,ND
6049443.2016.6.11.12,Feature,-89.11944444444444,48.369166666666665,,,6,M,,,2016-06-11 12:00:00,,,12,57.0,11,,54.0,,2016,11,18.0,9.3,ON,6049443,,6049443.2016.6.11.12,,,,2016,6,98.49,30.0,WELCOME ISLAND (AUT),,,2016-06-11T17:00:00,ND
6049443.2016.6.20.8,Feature,-89.11944444444444,48.369166666666665,,,6,M,,,2016-06-20 08:00:00,,,8,63.0,20,,52.0,,2016,20,17.1,10.1,ON,6049443,,6049443.2016.6.20.8,,,,2016,6,98.11,27.0,WELCOME ISLAND (AUT),,,2016-06-20T13:00:00,ND
6049443.2016.6.20.11,Feature,-89.11944444444444,48.369166666666665,,,6,M,,,2016-06-20 11:00:00,,,11,49.0,20,,56.0,,2016,20,16.2,5.5,ON,6049443,,6049443.2016.6.20.11,,,,2016,6,98.41,29.0,WELCOME ISLAND (AUT),,,2016-06-20T16:00:00,ND
6049443.2016.6.20.12,Feature,-89.11944444444444,48.369166666666665,,,6,M,,,2016-06-20 12:00:00,,,12,43.0,20,,59.0,,2016,20,16.7,4.1,ON,6049443,,6049443.2016.6.20.12,,,,2016,6,98.42,29.0,WELCOME ISLAND (AUT),,,2016-06-20T17:00:00,ND
6049443.2016.6.20.13,Feature,-89.11944444444444,48.369166666666665,,,6,M,,,2016-06-20 13:00:00,,,13,41.0,20,,65.0,,2016,20,17.4,4.0,ON,6049443,,6049443.2016.6.20.13,,,,2016,6,98.46,29.0,WELCOME ISLAND (AUT),,,2016-06-20T18:00:00,ND
6049443.2016.6.20.14,Feature,-89.11944444444444,48.369166666666665,,,6,M,,,2016-06-20 14:00:00,,,14,36.0,20,,52.0,,2016,20,18.9,3.3,ON,6049443,,6049443.2016.6.20.14,,,,2016,6,98.43,28.0,WELCOME ISLAND (AUT),,,2016-06-20T19:00:00,ND
6049443.2016.6.20.15,Feature,-89.11944444444444,48.369166666666665,,,6,M,,,2016-06-20 15:00:00,,,15,37.0,20,,53.0,,2016,20,19.0,3.9,ON,6049443,,6049443.2016.6.20.15,,,,2016,6,98.45,28.0,WELCOME ISLAND (AUT),,,2016-06-20T20:00:00,ND
6049443.2016.6.20.16,Feature,-89.11944444444444,48.369166666666665,,,6,M,,,2016-06-20 16:00:00,,,16,37.0,20,,55.0,,2016,20,19.5,4.4,ON,6049443,,6049443.2016.6.20.16,,,,2016,6,98.46,28.0,WELCOME ISLAND (AUT),,,2016-06-20T21:00:00,ND
6049443.2016.6.20.17,Feature,-89.11944444444444,48.369166666666665,,,6,M,,,2016-06-20 17:00:00,,,17,35.0,20,,54.0,,2016,20,19.8,3.8,ON,6049443,,6049443.2016.6.20.17,,,,2016,6,98.47,28.0,WELCOME ISLAND (AUT),,,2016-06-20T22:00:00,ND
6049443.2016.6.20.18,Feature,-89.11944444444444,48.369166666666665,,,6,M,,,2016-06-20 18:00:00,,,18,40.0,20,,52.0,,2016,20,18.8,4.8,ON,6049443,,6049443.2016.6.20.18,,,,2016,6,98.48,29.0,WELCOME ISLAND (AUT),,,2016-06-20T23:00:00,ND
6049443.2016.10.7.12,Feature,-89.11944444444444,48.369166666666665,,,10,M,,,2016-10-07 12:00:00,,,12,82.0,7,,52.0,,2016,7,6.7,3.9,ON,6049443,,6049443.2016.10.7.12,,,,2016,10,98.4,29.0,WELCOME ISLAND (AUT),,,2016-10-07T17:00:00,ND
6049443.2016.10.17.5,Feature,-89.11944444444444,48.369166666666665,,,10,M,,,2016-10-17 05:00:00,,,5,95.0,17,,61.0,,2016,17,9.3,8.5,ON,6049443,,6049443.2016.10.17.5,,,,2016,10,97.69,9.0,WELCOME ISLAND (AUT),,,2016-10-17T10:00:00,ND
6049443.2016.10.17.6,Feature,-89.11944444444444,48.369166666666665,,,10,M,,,2016-10-17 06:00:00,,,6,92.0,17,,52.0,,2016,17,9.4,8.2,ON,6049443,,6049443.2016.10.17.6,,,,2016,10,97.65,10.0,WELCOME ISLAND (AUT),,,2016-10-17T11:00:00,ND
6049443.2016.10.17.7,Feature,-89.11944444444444,48.369166666666665,,,10,M,,,2016-10-17 07:00:00,,,7,92.0,17,,51.0,,2016,17,9.5,8.2,ON,6049443,,6049443.2016.10.17.7,,,,2016,10,97.55,10.0,WELCOME ISLAND (AUT),,,2016-10-17T12:00:00,ND
6049443.2016.11.1.13,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-01 13:00:00,,,13,75.0,1,,54.0,,2016,1,9.8,5.7,ON,6049443,,6049443.2016.11.1.13,,,,2016,11,97.92,30.0,WELCOME ISLAND (AUT),,,2016-11-01T18:00:00,ND
6049443.2016.11.8.0,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-08 00:00:00,,,0,68.0,8,,52.0,,2016,8,11.9,6.1,ON,6049443,,6049443.2016.11.8.0,,,,2016,11,98.73,30.0,WELCOME ISLAND (AUT),,,2016-11-08T05:00:00,ND
6049443.2016.11.8.4,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-08 04:00:00,,,4,70.0,8,,55.0,,2016,8,9.2,4.0,ON,6049443,,6049443.2016.11.8.4,,,,2016,11,99.01,31.0,WELCOME ISLAND (AUT),,,2016-11-08T09:00:00,ND
6049443.2016.11.8.5,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-08 05:00:00,,,5,72.0,8,,53.0,,2016,8,8.6,3.9,ON,6049443,,6049443.2016.11.8.5,,,,2016,11,99.07,32.0,WELCOME ISLAND (AUT),,,2016-11-08T10:00:00,ND
6049443.2016.11.8.6,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-08 06:00:00,,,6,77.0,8,,51.0,,2016,8,7.5,3.8,ON,6049443,,6049443.2016.11.8.6,,,,2016,11,99.2,32.0,WELCOME ISLAND (AUT),,,2016-11-08T11:00:00,ND
6049443.2016.11.10.14,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-10 14:00:00,,,14,59.0,10,,53.0,,2016,10,14.2,6.3,ON,6049443,,6049443.2016.11.10.14,,,,2016,11,97.82,31.0,WELCOME ISLAND (AUT),,,2016-11-10T19:00:00,ND
6049443.2016.11.10.16,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-10 16:00:00,,,16,55.0,10,,55.0,,2016,10,13.4,4.6,ON,6049443,,6049443.2016.11.10.16,,,,2016,11,98.08,31.0,WELCOME ISLAND (AUT),,,2016-11-10T21:00:00,ND
6049443.2016.11.10.20,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-10 20:00:00,,,20,51.0,10,,54.0,,2016,11,10.7,1.0,ON,6049443,,6049443.2016.11.10.20,,,,2016,11,98.73,34.0,WELCOME ISLAND (AUT),,,2016-11-11T01:00:00,ND
6049443.2016.11.10.21,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-10 21:00:00,,,21,58.0,10,,51.0,,2016,11,9.1,1.3,ON,6049443,,6049443.2016.11.10.21,,,,2016,11,98.94,34.0,WELCOME ISLAND (AUT),,,2016-11-11T02:00:00,ND
6049443.2016.11.10.23,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-10 23:00:00,,,23,62.0,10,,53.0,,2016,11,7.0,0.2,ON,6049443,,6049443.2016.11.10.23,,,,2016,11,99.13,36.0,WELCOME ISLAND (AUT),,,2016-11-11T04:00:00,ND
6049443.2016.11.18.6,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 06:00:00,,,6,86.0,18,,51.0,,2016,18,3.2,1.0,ON,6049443,,6049443.2016.11.18.6,,,,2016,11,98.8,2.0,WELCOME ISLAND (AUT),,,2016-11-18T11:00:00,ND
6049443.2016.11.18.7,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 07:00:00,,,7,85.0,18,,52.0,,2016,18,2.7,0.5,ON,6049443,,6049443.2016.11.18.7,,,,2016,11,98.8,2.0,WELCOME ISLAND (AUT),,,2016-11-18T12:00:00,ND
6049443.2016.11.18.8,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 08:00:00,,,8,84.0,18,,52.0,,2016,18,2.5,0.1,ON,6049443,,6049443.2016.11.18.8,,,,2016,11,98.72,3.0,WELCOME ISLAND (AUT),,,2016-11-18T13:00:00,ND
6049443.2016.11.18.11,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 11:00:00,,,11,84.0,18,,56.0,,2016,18,2.1,-0.4,ON,6049443,,6049443.2016.11.18.11,,,,2016,11,98.5,3.0,WELCOME ISLAND (AUT),,,2016-11-18T16:00:00,ND
6049443.2016.11.18.12,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 12:00:00,,,12,86.0,18,,53.0,,2016,18,2.3,0.1,ON,6049443,,6049443.2016.11.18.12,,,,2016,11,98.45,4.0,WELCOME ISLAND (AUT),,,2016-11-18T17:00:00,ND
6049443.2016.11.18.13,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 13:00:00,,,13,87.0,18,,60.0,,2016,18,1.3,-0.6,ON,6049443,,6049443.2016.11.18.13,,,,2016,11,98.24,3.0,WELCOME ISLAND (AUT),,,2016-11-18T18:00:00,ND
6049443.2016.11.18.14,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 14:00:00,,,14,86.0,18,,60.0,,2016,18,0.6,-1.5,ON,6049443,,6049443.2016.11.18.14,,,,2016,11,98.04,4.0,WELCOME ISLAND (AUT),,,2016-11-18T19:00:00,ND
6049443.2016.11.18.15,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 15:00:00,,,15,89.0,18,,56.0,,2016,18,0.0,-1.6,ON,6049443,,6049443.2016.11.18.15,,-9.0,,2016,11,98.0,3.0,WELCOME ISLAND (AUT),,,2016-11-18T20:00:00,ND
6049443.2016.11.18.18,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 18:00:00,,,18,86.0,18,,58.0,,2016,18,0.3,-1.7,ON,6049443,,6049443.2016.11.18.18,,,,2016,11,97.97,1.0,WELCOME ISLAND (AUT),,,2016-11-18T23:00:00,ND
6049443.2016.11.18.19,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 19:00:00,,,19,82.0,18,,68.0,,2016,19,0.4,-2.4,ON,6049443,,6049443.2016.11.18.19,,,,2016,11,97.8,2.0,WELCOME ISLAND (AUT),,,2016-11-19T00:00:00,ND
6049443.2016.11.18.20,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 20:00:00,,,20,79.0,18,,67.0,,2016,19,-0.1,-3.3,ON,6049443,,6049443.2016.11.18.20,,-9.0,,2016,11,97.67,1.0,WELCOME ISLAND (AUT),,,2016-11-19T01:00:00,ND
6049443.2016.11.18.21,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 21:00:00,,,21,91.0,18,,57.0,,2016,19,-1.0,-2.2,ON,6049443,,6049443.2016.11.18.21,,-10.0,,2016,11,97.72,1.0,WELCOME ISLAND (AUT),,,2016-11-19T02:00:00,ND
6049443.2016.11.18.23,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-18 23:00:00,,,23,99.0,18,,55.0,,2016,19,-1.6,-1.7,ON,6049443,,6049443.2016.11.18.23,,-11.0,,2016,11,97.82,35.0,WELCOME ISLAND (AUT),,,2016-11-19T04:00:00,ND
6049443.2016.11.19.0,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-19 00:00:00,,,0,98.0,19,,53.0,,2016,19,-2.0,-2.3,ON,6049443,,6049443.2016.11.19.0,,-11.0,,2016,11,97.9,34.0,WELCOME ISLAND (AUT),,,2016-11-19T05:00:00,ND
6049443.2016.11.19.1,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-19 01:00:00,,,1,98.0,19,,57.0,,2016,19,-2.6,-3.0,ON,6049443,,6049443.2016.11.19.1,,-12.0,,2016,11,97.98,34.0,WELCOME ISLAND (AUT),,,2016-11-19T06:00:00,ND
6049443.2016.11.19.2,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-19 02:00:00,,,2,96.0,19,,56.0,,2016,19,-3.5,-4.0,ON,6049443,,6049443.2016.11.19.2,,-13.0,,2016,11,98.08,33.0,WELCOME ISLAND (AUT),,,2016-11-19T07:00:00,ND
6049443.2016.11.19.3,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-19 03:00:00,,,3,94.0,19,,58.0,,2016,19,-3.5,-4.3,ON,6049443,,6049443.2016.11.19.3,,-13.0,,2016,11,98.24,33.0,WELCOME ISLAND (AUT),,,2016-11-19T08:00:00,ND
6049443.2016.11.19.4,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-19 04:00:00,,,4,89.0,19,,69.0,,2016,19,-4.1,-5.7,ON,6049443,,6049443.2016.11.19.4,,-15.0,,2016,11,98.32,33.0,WELCOME ISLAND (AUT),,,2016-11-19T09:00:00,ND
6049443.2016.11.19.5,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-19 05:00:00,,,5,88.0,19,,62.0,,2016,19,-4.4,-6.1,ON,6049443,,6049443.2016.11.19.5,,-15.0,,2016,11,98.51,33.0,WELCOME ISLAND (AUT),,,2016-11-19T10:00:00,ND
6049443.2016.11.19.6,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-19 06:00:00,,,6,88.0,19,,64.0,,2016,19,-4.6,-6.2,ON,6049443,,6049443.2016.11.19.6,,-15.0,,2016,11,98.61,33.0,WELCOME ISLAND (AUT),,,2016-11-19T11:00:00,ND
6049443.2016.11.19.7,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-19 07:00:00,,,7,81.0,19,,68.0,,2016,19,-5.0,-7.7,ON,6049443,,6049443.2016.11.19.7,,-16.0,,2016,11,98.71,33.0,WELCOME ISLAND (AUT),,,2016-11-19T12:00:00,ND
6049443.2016.11.19.8,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-19 08:00:00,,,8,84.0,19,,65.0,,2016,19,-5.2,-7.6,ON,6049443,,6049443.2016.11.19.8,,-16.0,,2016,11,98.86,33.0,WELCOME ISLAND (AUT),,,2016-11-19T13:00:00,ND
6049443.2016.11.19.9,Feature,-89.11944444444444,48.369166666666665,,,11,M,,,2016-11-19 09:00:00,,,9,83.0,19,,62.0,,2016,19,-5.6,-8.0,ON,6049443,,6049443.2016.11.19.9,,-17.0,,2016,11,99.05,33.0,WELCOME ISLAND (AUT),,,2016-11-19T14:00:00,ND
