name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Toronto, ON, Canada",2023-12-01,9.8,2.6,5.6,6.8,-1.1,2.4,2.5,81.7,13.524,100,45.83,rain,0,0,37.1,27.4,1.2,1014.8,99.3,9.4,9,0.8,1,10,2023-12-01T07:31:00,2023-12-01T16:41:55,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"CXVN,CYTZ,CXHM,CWWZ,F0888,CXTO"
"Toronto, ON, Canada",2023-12-02,5,3.9,4.2,1.2,-0.4,0.2,3.9,97.7,9.4,81,58.33,rain,0,0,25.9,20.5,39.9,1015,96.4,5.4,13.1,1.1,1,10,2023-12-02T07:32:06,2023-12-02T16:41:36,0.67,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,
"Toronto, ON, Canada",2023-12-03,5.6,3.9,4.5,0.9,-1,0.1,3.6,93.9,5.9,90,16.67,rain,0,0,38.9,29.5,64.7,1008.1,92.7,8.8,16.5,1.4,0,10,2023-12-03T07:33:10,2023-12-03T16:41:19,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
"Toronto, ON, Canada",2023-12-04,4.9,2.6,4,0.7,-1.8,-0.5,1,80.5,1.1,90,8.33,rain,0,0,29.2,25.9,289.1,1004.9,79.4,16.3,23.6,2.1,1,10,2023-12-04T07:34:13,2023-12-04T16:41:05,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"Toronto, ON, Canada",2023-12-05,2.4,1.8,2,-1.3,-2.7,-1.9,-1.6,77.1,0.3,20,8.33,rain,0,0,24.8,18,332.6,1011.9,77.3,24.1,49.4,4.5,1,10,2023-12-05T07:35:15,2023-12-05T16:40:53,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Toronto, ON, Canada",2023-12-06,1.8,0,0.8,-2.8,-4.6,-4,-3.4,73.3,0,20,0,,0,0,28.1,19.8,344.8,1016.8,55.6,24.1,74.6,6.5,2,10,2023-12-06T07:36:16,2023-12-06T16:40:43,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Toronto, ON, Canada",2023-12-07,3.9,0.2,2.3,-0.3,-4.3,-2.3,-1.7,75.2,0,27,0,,0,0,31.7,22.3,240.8,1023.4,71,24.1,83.9,7.1,2,10,2023-12-07T07:37:15,2023-12-07T16:40:37,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Toronto, ON, Canada",2023-12-08,5,3.9,4.5,0.8,-0.2,0.2,1.6,81.8,0.6,26,4.17,rain,0,1.3,34.6,22.7,225.5,1013,77.8,4.8,54,4.7,2,10,2023-12-08T07:38:12,2023-12-08T16:40:32,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Toronto, ON, Canada",2023-12-09,5.1,-0.3,2,1.2,-3.8,-1.8,-0.8,82,0,33.3,0,,0,0.8,42.5,20.9,289.7,1018.5,60,17.5,60.5,5.4,2,10,2023-12-09T07:39:08,2023-12-09T16:40:31,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Toronto, ON, Canada",2023-12-10,4.7,-0.3,2.1,1.5,-2.3,-0.7,-1.4,78.2,0,71.4,0,"rain,snow",0,0.2,42.5,15.1,220.4,1021.4,99.2,24.1,58.4,5,3,10,2023-12-10T07:40:02,2023-12-10T16:40:31,0.93,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow.,rain,
"Toronto, ON, Canada",2023-12-11,3.1,1,2,0.3,-2,-0.9,-0.9,81.6,0,47.6,0,"rain,snow",0,0.2,37.8,13.7,251,1016.8,100,17.8,32.1,2.7,2,10,2023-12-11T07:40:55,2023-12-11T16:40:35,0.96,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow.,rain,
"Toronto, ON, Canada",2023-12-12,1,-1.3,-0.2,-2.3,-5.1,-3.8,-3.7,77.3,0,28.6,0,,0,0.5,33.5,13.3,294.2,1016.4,44,22.8,77.8,6.8,3,10,2023-12-12T07:41:45,2023-12-12T16:40:41,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Toronto, ON, Canada",2023-12-13,-0.8,-7.9,-3.8,-5,-15.1,-9.9,-9,67.7,0,23.8,0,,0,0.3,43.9,22.3,321.3,1020.2,41.4,24.1,76.1,6.6,3,10,2023-12-13T07:42:34,2023-12-13T16:40:49,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Toronto, ON, Canada",2023-12-14,-2,-8,-4.6,-7.6,-15.1,-10.6,-9.4,69.4,0,33.3,0,,0,0.2,58.3,22,338.6,1031.1,5.2,24.1,84.3,7.2,3,10,2023-12-14T07:43:21,2023-12-14T16:41:00,0.06,Clear,Clear conditions throughout the day.,clear-day,
"Toronto, ON, Canada",2023-12-15,-0.3,-4.9,-2.6,-0.3,-8.5,-4,-10.2,57.1,0,23.8,0,,0,0.2,28.1,10.1,359.5,1036.3,35.4,24.1,85.6,7.3,3,10,2023-12-15T07:44:06,2023-12-15T16:41:13,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
